Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Optdigits,optdigits,980,5620,64,8.8252,Medium,Features > 30,3,5,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4039,457,4039,4039,3582,14.545,4.0606,4.0606
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,10.5248,2.6578,2.6578
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,6.4025,1.6168,1.6168
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,10.7307,2.7098,2.7098
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,4.6684,1.1789,1.1789
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,9.9322,2.5081,2.5081
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,6.4664,1.6329,1.6329
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,10.1791,2.5705,2.5705
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,4,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,4.4555,1.1251,1.1251
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5,CTGAN,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,9.2009,2.3234,2.3234
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5,TVAE,Deep Tabular,--,success,deep_tabular_minority_synthesis,4020,60,4020,4020,3960,4.9769,1.2568,1.2568
