Model,Metric,Method_A,Method_B,Wilcoxon_Statistic,Raw_p_value,Holm_p_value,Significant_0.05
LightGBM,GMean,None,Full BSSMOTE Linear,19.0,3.527832e-02,1.000000e+00,False
LightGBM,GMean,None,Full BSSMOTE RBF,12.0,8.544922e-03,5.725098e-01,False
LightGBM,GMean,None,BSSMOTE w/o Clustering Linear,35.0,4.630710e-01,1.000000e+00,False
LightGBM,GMean,None,BSSMOTE w/o Clustering RBF,24.0,7.849121e-02,1.000000e+00,False
LightGBM,GMean,None,BSSMOTE w/o ADASYN Linear,9.0,1.074678e-02,6.875000e-01,False
LightGBM,GMean,None,BSSMOTE w/o ADASYN RBF,18.0,5.462394e-02,1.000000e+00,False
LightGBM,GMean,None,BSSMOTE w/o SVM,12.0,8.544922e-03,5.725098e-01,False
LightGBM,GMean,SMOTE,ADASYN,40.0,4.631348e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,BorderlineSMOTE,44.0,6.257324e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,KMeansSMOTE,16.0,2.026367e-02,1.000000e+00,False
LightGBM,GMean,SMOTE,SVMSMOTE,48.0,8.077393e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,Full BSSMOTE Linear,44.0,6.257324e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,Full BSSMOTE RBF,45.0,9.721253e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,BSSMOTE w/o Clustering Linear,6.0,1.708984e-03,1.264648e-01,False
LightGBM,GMean,SMOTE,BSSMOTE w/o Clustering RBF,10.0,5.249023e-03,3.726807e-01,False
LightGBM,GMean,SMOTE,BSSMOTE w/o ADASYN Linear,43.0,8.613043e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,BSSMOTE w/o ADASYN RBF,45.0,6.697998e-01,1.000000e+00,False
LightGBM,GMean,SMOTE,BSSMOTE w/o SVM,30.0,1.726074e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,BorderlineSMOTE,33.0,2.412109e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,KMeansSMOTE,13.0,1.074219e-02,6.875000e-01,False
LightGBM,GMean,ADASYN,SVMSMOTE,33.0,2.412109e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,Full BSSMOTE Linear,37.0,3.575439e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,Full BSSMOTE RBF,42.0,5.416260e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,BSSMOTE w/o Clustering Linear,2.0,1.519186e-03,1.139389e-01,False
LightGBM,GMean,ADASYN,BSSMOTE w/o Clustering RBF,13.0,1.074219e-02,6.875000e-01,False
LightGBM,GMean,ADASYN,BSSMOTE w/o ADASYN Linear,42.0,5.416260e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,BSSMOTE w/o ADASYN RBF,41.0,5.015869e-01,1.000000e+00,False
LightGBM,GMean,ADASYN,BSSMOTE w/o SVM,32.0,2.165527e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,KMeansSMOTE,17.0,4.639946e-02,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,SVMSMOTE,46.0,7.148438e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,Full BSSMOTE Linear,48.0,8.077393e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,Full BSSMOTE RBF,51.0,9.515381e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,BSSMOTE w/o Clustering Linear,6.0,5.771589e-03,3.982396e-01,False
LightGBM,GMean,BorderlineSMOTE,BSSMOTE w/o Clustering RBF,16.0,2.026367e-02,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,BSSMOTE w/o ADASYN Linear,45.0,9.721253e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,BSSMOTE w/o ADASYN RBF,40.0,7.007034e-01,1.000000e+00,False
LightGBM,GMean,BorderlineSMOTE,BSSMOTE w/o SVM,23.0,6.762695e-02,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,SVMSMOTE,15.0,1.660156e-02,9.960938e-01,False
LightGBM,GMean,KMeansSMOTE,Full BSSMOTE Linear,31.0,1.937256e-01,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,Full BSSMOTE RBF,30.0,1.726074e-01,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,BSSMOTE w/o Clustering Linear,12.0,1.922344e-02,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,BSSMOTE w/o Clustering RBF,37.0,3.575439e-01,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,BSSMOTE w/o ADASYN Linear,21.0,8.686008e-02,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,BSSMOTE w/o ADASYN RBF,27.0,1.960510e-01,1.000000e+00,False
LightGBM,GMean,KMeansSMOTE,BSSMOTE w/o SVM,16.0,2.026367e-02,1.000000e+00,False
LightGBM,GMean,SVMSMOTE,Full BSSMOTE Linear,29.0,1.530762e-01,1.000000e+00,False
LightGBM,GMean,SVMSMOTE,Full BSSMOTE RBF,41.0,5.015869e-01,1.000000e+00,False
LightGBM,GMean,SVMSMOTE,BSSMOTE w/o Clustering Linear,1.0,2.441406e-04,1.879883e-02,True
LightGBM,GMean,SVMSMOTE,BSSMOTE w/o Clustering RBF,0.0,1.220703e-04,9.521484e-03,True
LightGBM,GMean,SVMSMOTE,BSSMOTE w/o ADASYN Linear,40.0,4.631348e-01,1.000000e+00,False
LightGBM,GMean,SVMSMOTE,BSSMOTE w/o ADASYN RBF,42.0,5.416260e-01,1.000000e+00,False
LightGBM,GMean,SVMSMOTE,BSSMOTE w/o SVM,34.0,2.675781e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,Full BSSMOTE RBF,27.0,1.188965e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,BSSMOTE w/o Clustering Linear,20.0,4.187012e-02,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,BSSMOTE w/o Clustering RBF,32.0,2.165527e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,BSSMOTE w/o ADASYN Linear,46.5,7.063581e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,BSSMOTE w/o ADASYN RBF,51.0,9.515381e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE Linear,BSSMOTE w/o SVM,17.0,2.453613e-02,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE RBF,BSSMOTE w/o Clustering Linear,18.0,2.954102e-02,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE RBF,BSSMOTE w/o Clustering RBF,23.0,6.762695e-02,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE RBF,BSSMOTE w/o ADASYN Linear,45.0,6.697998e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE RBF,BSSMOTE w/o ADASYN RBF,30.0,1.726074e-01,1.000000e+00,False
LightGBM,GMean,Full BSSMOTE RBF,BSSMOTE w/o SVM,23.0,6.762695e-02,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o Clustering Linear,BSSMOTE w/o Clustering RBF,28.0,1.352539e-01,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN Linear,11.0,1.590644e-02,9.702931e-01,False
LightGBM,GMean,BSSMOTE w/o Clustering Linear,BSSMOTE w/o ADASYN RBF,18.0,5.462394e-02,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o Clustering Linear,BSSMOTE w/o SVM,10.0,5.249023e-03,3.726807e-01,False
LightGBM,GMean,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN Linear,17.0,2.453613e-02,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o Clustering RBF,BSSMOTE w/o ADASYN RBF,29.0,1.530762e-01,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o Clustering RBF,BSSMOTE w/o SVM,19.0,3.527832e-02,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o ADASYN RBF,45.0,9.721253e-01,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o ADASYN Linear,BSSMOTE w/o SVM,20.0,4.187012e-02,1.000000e+00,False
LightGBM,GMean,BSSMOTE w/o ADASYN RBF,BSSMOTE w/o SVM,16.0,2.026367e-02,1.000000e+00,False
