Model,Metric,Method,Average_Rank,N_Datasets,N_Methods,Critical_Difference_0.05
RF,AUC_PR,BSSMOTE w/o Clustering Linear,5.2143,14,13,4.8764
RF,AUC_PR,SMOTE,6.0,14,13,4.8764
RF,AUC_PR,SVMSMOTE,6.7857,14,13,4.8764
RF,AUC_PR,BSSMOTE w/o ADASYN RBF,7.3571,14,13,4.8764
RF,AUC_PR,ADASYN,7.8929,14,13,4.8764
RF,AUC_PR,Full BSSMOTE RBF,8.0714,14,13,4.8764
RF,AUC_PR,BSSMOTE w/o ADASYN Linear,8.4286,14,13,4.8764
RF,AUC_PR,BorderlineSMOTE,8.7143,14,13,4.8764
RF,AUC_PR,Full BSSMOTE Linear,8.9643,14,13,4.8764
RF,AUC_PR,BSSMOTE w/o SVM,9.4286,14,13,4.8764
RF,GMean,SMOTE,4.2857,14,13,4.8764
RF,GMean,SVMSMOTE,4.7857,14,13,4.8764
RF,GMean,Full BSSMOTE RBF,5.1429,14,13,4.8764
RF,GMean,ADASYN,5.2143,14,13,4.8764
RF,GMean,BSSMOTE w/o SVM,5.4286,14,13,4.8764
RF,GMean,BSSMOTE w/o ADASYN RBF,6.0,14,13,4.8764
RF,GMean,BSSMOTE w/o ADASYN Linear,6.1071,14,13,4.8764
RF,GMean,Full BSSMOTE Linear,7.0714,14,13,4.8764
RF,GMean,BorderlineSMOTE,7.0714,14,13,4.8764
RF,GMean,KMeansSMOTE,8.5,14,13,4.8764
RF,GMean,BSSMOTE w/o Clustering RBF,9.6786,14,13,4.8764
RF,GMean,None,10.6429,14,13,4.8764
RF,GMean,BSSMOTE w/o Clustering Linear,11.0714,14,13,4.8764
LightGBM,Precision,BSSMOTE w/o Clustering Linear,3.3571,14,13,4.8764
LightGBM,Precision,BSSMOTE w/o Clustering RBF,3.3929,14,13,4.8764
LightGBM,Precision,None,3.4286,14,13,4.8764
LightGBM,Precision,KMeansSMOTE,4.9286,14,13,4.8764
LightGBM,Precision,BSSMOTE w/o ADASYN Linear,7.3214,14,13,4.8764
LightGBM,Precision,BorderlineSMOTE,7.3929,14,13,4.8764
LightGBM,Precision,SVMSMOTE,7.5,14,13,4.8764
LightGBM,Precision,SMOTE,7.8571,14,13,4.8764
LightGBM,Precision,BSSMOTE w/o ADASYN RBF,8.2143,14,13,4.8764
LightGBM,Precision,Full BSSMOTE Linear,8.75,14,13,4.8764
LightGBM,Precision,ADASYN,8.8214,14,13,4.8764
LightGBM,Precision,Full BSSMOTE RBF,8.8929,14,13,4.8764
LightGBM,Precision,BSSMOTE w/o SVM,11.1429,14,13,4.8764
LightGBM,Recall,BSSMOTE w/o SVM,2.0714,14,13,4.8764
LightGBM,Recall,ADASYN,5.0357,14,13,4.8764
LightGBM,Recall,Full BSSMOTE RBF,5.0357,14,13,4.8764
LightGBM,Recall,BSSMOTE w/o ADASYN RBF,5.2857,14,13,4.8764
LightGBM,Recall,BSSMOTE w/o ADASYN Linear,5.2857,14,13,4.8764
LightGBM,Recall,SVMSMOTE,5.8214,14,13,4.8764
LightGBM,Recall,Full BSSMOTE Linear,6.25,14,13,4.8764
LightGBM,Recall,BorderlineSMOTE,6.9643,14,13,4.8764
LightGBM,Recall,SMOTE,7.5,14,13,4.8764
LightGBM,Recall,KMeansSMOTE,8.8571,14,13,4.8764
LightGBM,Recall,BSSMOTE w/o Clustering RBF,10.0357,14,13,4.8764
LightGBM,Recall,BSSMOTE w/o Clustering Linear,11.3929,14,13,4.8764
LightGBM,Recall,None,11.4643,14,13,4.8764
LightGBM,AUC_PR,BSSMOTE w/o Clustering RBF,3.8571,14,13,4.8764
LightGBM,AUC_PR,BSSMOTE w/o Clustering Linear,4.1429,14,13,4.8764
