Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,65,180,180,115,115,0,115,0.249,2.1651,2.1651
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,SVMSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0801,0.6965,0.6965
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,65,136,73,8,8,44,-36,0.1273,15.9136,15.9136
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,65,136,74,9,9,44,-35,0.1373,15.261,15.261
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,180,65,180,71,6,6,0,6,0.0114,1.8958,1.8958
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,180,65,180,76,11,11,0,11,0.0142,1.291,1.291
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,180,65,136,72,7,7,44,-37,0.0479,6.843,6.843
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,180,65,136,73,8,8,44,-36,0.0504,6.3019,6.3019
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,3,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,180,65,143,136,71,71,37,34,0.0511,0.7193,0.7193
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,None,None,--,not_applied,baseline_no_resampling,180,65,180,65,0,0,0,0,0.0017,,
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,SMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0051,0.0446,0.0446
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,ADASYN,Baseline,--,success,fit_resample,180,65,195,180,115,115,0,130,0.0074,0.0643,0.0643
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BorderlineSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0063,0.0547,0.0547
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,65,180,180,115,115,0,115,0.0322,0.28,0.28
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,SVMSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0144,0.125,0.125
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,65,129,71,6,6,51,-45,0.2183,36.3836,36.3836
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,65,129,70,5,5,51,-46,0.1556,31.1227,31.1227
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,180,65,180,70,5,5,0,5,0.0115,2.3017,2.3017
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,180,65,180,74,9,9,0,9,0.0271,3.0069,3.0069
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,180,65,129,72,7,7,51,-44,0.1828,26.118,26.118
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,180,65,129,74,9,9,51,-42,0.0553,6.1416,6.1416
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,4,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,180,65,129,121,56,56,51,5,0.0671,1.1988,1.1988
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,None,None,--,not_applied,baseline_no_resampling,180,65,180,65,0,0,0,0,0.004,,
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,SMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.0118,0.1024,0.1024
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,ADASYN,Baseline,--,success,fit_resample,180,65,185,180,115,115,0,120,0.0064,0.0559,0.0559
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BorderlineSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.006,0.0521,0.0521
