Feature_Interval,Feature_Interval_Order,Dataset,Dataset_File,OpenML_ID,Oversampler,Stage,MajorityCount,MinorityCount,Generated_Samples
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN Linear,After OS,9149.9999,5151.25,21.25
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN RBF,After OS,9149.9999,5537.5,407.5
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o ADASYN RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering Linear,After OS,11469.0,5386.25,256.25
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering RBF,After OS,11469.0,5929.75,799.75
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o Clustering RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o SVM,After OS,9149.9999,8840.0,3710.0
10 < Features <= 30,2,Elevators,elevators,846,BSSMOTE w/o SVM,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,BorderlineSMOTE,After OS,11469.0,11469.0,6339.0
10 < Features <= 30,2,Elevators,elevators,846,BorderlineSMOTE,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE Linear,After OS,9149.9999,5501.5,371.5
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE Linear,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE RBF,After OS,9149.9999,5655.75,525.75
10 < Features <= 30,2,Elevators,elevators,846,Full BSSMOTE RBF,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,KMeansSMOTE,After OS,11470.0,11469.0,6339.0
10 < Features <= 30,2,Elevators,elevators,846,KMeansSMOTE,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,None,After OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,None,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,SMOTE,After OS,11469.0,11469.0,6339.0
10 < Features <= 30,2,Elevators,elevators,846,SMOTE,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Elevators,elevators,846,SVMSMOTE,After OS,11469.0,11469.0,6339.0
10 < Features <= 30,2,Elevators,elevators,846,SVMSMOTE,Before OS,11469.0,5130.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,ADASYN,After OS,638.2532,624.7672,406.7672
10 < Features <= 30,2,Vehicle,vehicle,994,ADASYN,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o ADASYN Linear,After OS,524.5011,229.5193,11.5193
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o ADASYN Linear,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o ADASYN RBF,After OS,524.5011,229.9989,11.9989
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o ADASYN RBF,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o Clustering Linear,After OS,628.0,246.756,28.756
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o Clustering Linear,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o Clustering RBF,After OS,628.0,263.9898,45.9898
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o Clustering RBF,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o SVM,After OS,527.0031,516.4903,298.4903
10 < Features <= 30,2,Vehicle,vehicle,994,BSSMOTE w/o SVM,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,BorderlineSMOTE,After OS,628.0,628.0061,410.0061
10 < Features <= 30,2,Vehicle,vehicle,994,BorderlineSMOTE,Before OS,628.0,218.0,0.0
