Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.5385,0.4118,0.4619,0.5974,1,1,0,1,0.0111,11.1237,11.1237,0.5,0.0647,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.6,0.3529,0.5206,0.5671,1,1,0,1,0.0111,11.1237,11.1237,0.0632,0.0168,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.3333,0.1765,0.2846,0.3911,2,2,0,2,0.0335,16.7359,16.7359,0.0049,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.5714,0.4706,0.439,0.6386,2,2,0,2,0.0335,16.7359,16.7359,0.4727,0.0291,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.5714,0.4706,0.5207,0.6386,2,2,0,2,0.0335,16.7359,16.7359,0.0225,0.004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.4762,0.5882,0.393,0.6667,7,7,35,-28,0.1363,19.4705,19.4705,0.0026,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.5714,0.7059,0.5826,0.7515,7,7,35,-28,0.1363,19.4705,19.4705,0.3079,0.0303,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.6316,0.7059,0.6627,0.7721,7,7,35,-28,0.1363,19.4705,19.4705,0.0209,0.004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.3913,0.5294,0.3362,0.6039,7,7,35,-28,0.079,11.2794,11.2794,0.0023,0.0005,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.5455,0.7059,0.5404,0.741,7,7,35,-28,0.079,11.2794,11.2794,0.4112,0.0591,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.6,0.7059,0.5896,0.7618,7,7,35,-28,0.079,11.2794,11.2794,0.0371,0.0077,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o SVM,w/o SVM,--,DT,0.4348,0.5882,0.3687,0.6468,81,81,33,48,0.2106,2.6003,2.6003,0.0026,0.0006,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o SVM,w/o SVM,--,RF,0.48,0.7059,0.5631,0.7085,81,81,33,48,0.2106,2.6003,2.6003,0.4138,0.0363,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,1,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.5,0.7059,0.5571,0.7195,81,81,33,48,0.2106,2.6003,2.6003,0.025,0.0104,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,None,None,--,DT,0.2632,0.3125,0.2626,0.464,0,0,0,0,0.0017,,,0.008,0.0008,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,None,None,--,RF,0.3846,0.3125,0.4032,0.5069,0,0,0,0,0.0017,,,0.3842,0.0406,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,None,None,--,LightGBM,0.3333,0.1875,0.3491,0.4031,0,0,0,0,0.0017,,,0.0214,0.004,not_applied,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SMOTE,Baseline,--,DT,0.3333,0.4375,0.2934,0.549,115,115,0,115,0.0046,0.0401,0.0401,0.0051,0.0027,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SMOTE,Baseline,--,RF,0.3571,0.3125,0.3492,0.5,115,115,0,115,0.0046,0.0401,0.0401,0.3151,0.0298,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SMOTE,Baseline,--,LightGBM,0.2778,0.3125,0.3299,0.4714,115,115,0,115,0.0046,0.0401,0.0401,0.0274,0.0042,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,ADASYN,Baseline,--,DT,0.1667,0.1875,0.2444,0.3536,102,102,0,102,0.008,0.0783,0.0783,0.003,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,ADASYN,Baseline,--,RF,0.25,0.1875,0.3898,0.3873,102,102,0,102,0.008,0.0783,0.0783,0.2967,0.0273,success,success,42
