Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.5093,0.2212,0.4818,0.1232,0.2699,0.1605,0.6866,0.092,146.4,0.5477,0.1011,0.0062,0.6907,0.0433,0.0129,0.001
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.8317,0.1222,0.4818,0.0907,0.6872,0.0858,0.691,0.0663,146.4,0.5477,0.1011,0.0062,0.6907,0.0433,0.1352,0.0081
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.5333,0.5055,0.1,0.0913,0.5671,0.1791,0.2449,0.2235,146.4,0.5477,0.1011,0.0062,0.6907,0.0433,0.4053,0.0098
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,DT,0.2068,0.0882,0.5515,0.1386,0.1285,0.073,0.7247,0.0924,2022.8,8.9275,0.2359,0.2601,0.1165,0.1282,0.0589,0.0154
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.4733,0.0948,0.6727,0.1224,0.6099,0.0905,0.8124,0.0753,2022.8,8.9275,0.2359,0.2601,0.1165,0.1282,0.1818,0.0472
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,RF,0.4441,0.0444,0.5303,0.1338,0.4856,0.124,0.7195,0.0914,2022.8,8.9275,0.2359,0.2601,0.1165,0.1282,0.8404,0.1877
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,DT,0.4351,0.0938,0.4818,0.0907,0.2225,0.0729,0.6882,0.0663,2924.8,0.8367,0.0111,0.0032,0.0038,0.0011,0.0838,0.0123
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,LightGBM,0.6805,0.1409,0.5682,0.0897,0.6629,0.0997,0.7503,0.0606,2924.8,0.8367,0.0111,0.0032,0.0038,0.0011,0.1863,0.0528
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,RF,0.587,0.1059,0.3924,0.1287,0.5678,0.1288,0.6185,0.101,2924.8,0.8367,0.0111,0.0032,0.0038,0.0011,1.1197,0.2225
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.149,0.0933,0.6197,0.1056,0.0917,0.0358,0.7539,0.057,203.4,1.6733,0.1124,0.013,0.553,0.065,0.0092,0.001
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.6757,0.1848,0.4637,0.149,0.6149,0.0935,0.6722,0.11,203.4,1.6733,0.1124,0.013,0.553,0.065,0.1206,0.0139
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.1467,0.2921,0.1,0.1491,0.1748,0.1267,0.1954,0.2747,203.4,1.6733,0.1124,0.013,0.553,0.065,0.3064,0.0113
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.098,0.0142,0.5849,0.0495,0.0633,0.0061,0.73,0.0232,72.0,42.4735,0.1585,0.009,4.7824,6.215,0.0086,0.0012
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.3723,0.2819,0.497,0.13,0.4588,0.1645,0.6923,0.0999,72.0,42.4735,0.1585,0.009,4.7824,6.215,0.0913,0.0095
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.0527,0.0364,0.1364,0.0721,0.0863,0.0336,0.3506,0.0895,72.0,42.4735,0.1585,0.009,4.7824,6.215,0.3062,0.0173
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,DT,0.4005,0.1264,0.4651,0.111,0.2015,0.0918,0.674,0.0829,2924.8,0.8367,0.1106,0.1461,0.0378,0.0499,0.0837,0.0239
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,LightGBM,0.6667,0.0786,0.5515,0.0938,0.6235,0.0775,0.7389,0.0625,2924.8,0.8367,0.1106,0.1461,0.0378,0.0499,0.1777,0.017
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,RF,0.6295,0.0831,0.3606,0.1031,0.5036,0.0978,0.5946,0.0857,2924.8,0.8367,0.1106,0.1461,0.0378,0.0499,1.0803,0.1479
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,None,None,--,DT,0.4964,0.1649,0.4803,0.1691,0.2666,0.1522,0.6812,0.127,0.0,0.0,0.0014,0.0006,,,0.0112,0.0026
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,None,None,--,LightGBM,0.7936,0.0767,0.4636,0.0836,0.6862,0.0951,0.6781,0.0609,0.0,0.0,0.0014,0.0006,,,0.1192,0.033
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,None,None,--,RF,0.6,0.4183,0.1015,0.0694,0.5799,0.1569,0.2812,0.1671,0.0,0.0,0.0014,0.0006,,,0.3952,0.1021
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SMOTE,Baseline,--,DT,0.336,0.0285,0.6015,0.0851,0.2093,0.0406,0.7669,0.0517,2924.8,0.8367,0.0097,0.0069,0.0033,0.0023,0.0912,0.0118
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SMOTE,Baseline,--,LightGBM,0.6093,0.0614,0.6545,0.1034,0.6067,0.0733,0.8044,0.0607,2924.8,0.8367,0.0097,0.0069,0.0033,0.0023,0.2261,0.055
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SMOTE,Baseline,--,RF,0.5604,0.1211,0.4818,0.064,0.5226,0.077,0.6907,0.0444,2924.8,0.8367,0.0097,0.0069,0.0033,0.0023,1.2617,0.2375
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SVMSMOTE,Baseline,--,DT,0.4594,0.0774,0.5152,0.1237,0.2497,0.083,0.7101,0.0869,2135.2,720.9859,0.063,0.0048,0.032,0.0094,0.0499,0.0122
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SVMSMOTE,Baseline,--,LightGBM,0.6322,0.1472,0.5864,0.0673,0.6745,0.1057,0.7626,0.045,2135.2,720.9859,0.063,0.0048,0.032,0.0094,0.152,0.008
Diabetes (DIS),dis,40713,3772,29,64.0345,Extreme,10 < Features <= 30,2,SVMSMOTE,Baseline,--,RF,0.5928,0.178,0.3924,0.1287,0.5349,0.1199,0.6186,0.1013,2135.2,720.9859,0.063,0.0048,0.032,0.0094,0.7597,0.1332
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,ADASYN,Baseline,--,DT,0.6702,0.0198,0.7195,0.0096,0.5689,0.0155,0.778,0.0089,5062.8,13.6638,0.3983,0.0772,0.0787,0.0153,0.252,0.013
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,ADASYN,Baseline,--,LightGBM,0.8734,0.0198,0.7575,0.0094,0.9082,0.0055,0.8486,0.0034,5062.8,13.6638,0.3983,0.0772,0.0787,0.0153,0.5246,0.0109
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,ADASYN,Baseline,--,RF,0.8326,0.0201,0.7096,0.0131,0.8672,0.0069,0.8148,0.0054,5062.8,13.6638,0.3983,0.0772,0.0787,0.0153,4.6289,0.066
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.62,0.0126,0.7573,0.0182,0.5447,0.0143,0.7746,0.0116,17.0,4.3012,2.8431,0.4079,175.8437,48.4858,0.1132,0.0029
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.7617,0.0115,0.7965,0.0149,0.8725,0.0083,0.8412,0.0074,17.0,4.3012,2.8431,0.4079,175.8437,48.4858,0.2572,0.0104
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.7371,0.0165,0.7476,0.0176,0.8305,0.0095,0.8113,0.0095,17.0,4.3012,2.8431,0.4079,175.8437,48.4858,2.265,0.031
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.6158,0.0145,0.7561,0.0165,0.5411,0.0155,0.7723,0.0121,326.0,11.2472,4.3919,0.1341,13.4782,0.3955,0.1274,0.0038
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.7633,0.0114,0.7982,0.016,0.8723,0.0095,0.8424,0.0081,326.0,11.2472,4.3919,0.1341,13.4782,0.3955,0.5471,0.0241
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.7298,0.0169,0.7524,0.0176,0.8343,0.0074,0.8115,0.0106,326.0,11.2472,4.3919,0.1341,13.4782,0.3955,2.8023,0.1168
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.6805,0.0154,0.6994,0.0179,0.5687,0.009,0.7722,0.0068,205.0,276.1585,0.6159,0.1357,208.1887,335.0812,0.1547,0.0235
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9034,0.0149,0.7185,0.0238,0.9074,0.004,0.8328,0.0125,205.0,276.1585,0.6159,0.1357,208.1887,335.0812,0.3381,0.0657
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.874,0.0137,0.6505,0.0225,0.8632,0.0052,0.7892,0.012,205.0,276.1585,0.6159,0.1357,208.1887,335.0812,2.7849,0.1526
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.6834,0.0173,0.7055,0.0187,0.5731,0.0126,0.7759,0.0091,639.8,15.4013,4.6238,0.1084,7.2278,0.1201,0.1519,0.0059
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.9014,0.015,0.7206,0.0207,0.9074,0.0041,0.8337,0.0103,639.8,15.4013,4.6238,0.1084,7.2278,0.1201,0.6311,0.0147
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.8711,0.0156,0.6593,0.0227,0.8639,0.0036,0.7938,0.0113,639.8,15.4013,4.6238,0.1084,7.2278,0.1201,3.5941,0.1811
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,DT,0.6209,0.0103,0.762,0.0247,0.5468,0.0128,0.7767,0.0117,2968.0,22.6716,3.8398,0.2126,1.2939,0.0731,0.1648,0.0075
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.7479,0.0067,0.8206,0.0102,0.8792,0.0084,0.848,0.0044,2968.0,22.6716,3.8398,0.2126,1.2939,0.0731,0.4382,0.0121
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,RF,0.7238,0.0122,0.7756,0.0124,0.8424,0.0092,0.8203,0.0081,2968.0,22.6716,3.8398,0.2126,1.2939,0.0731,3.2257,0.0412
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,DT,0.6692,0.0097,0.7066,0.0116,0.5634,0.0039,0.772,0.0028,5071.2,0.4472,0.3297,0.0079,0.065,0.0015,0.2566,0.0119
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,LightGBM,0.8712,0.0145,0.7602,0.0095,0.9072,0.0056,0.8496,0.0034,5071.2,0.4472,0.3297,0.0079,0.065,0.0015,0.8125,0.0341
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,RF,0.8316,0.0182,0.7047,0.0182,0.8652,0.0066,0.812,0.0084,5071.2,0.4472,0.3297,0.0079,0.065,0.0015,5.4076,0.2348
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.6201,0.0148,0.7577,0.0205,0.5449,0.016,0.7748,0.0129,297.2,2.2804,1.857,0.0598,6.2489,0.214,0.1218,0.0042
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.7605,0.0118,0.7977,0.0178,0.8723,0.0091,0.8414,0.0099,297.2,2.2804,1.857,0.0598,6.2489,0.214,0.3467,0.0228
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.7335,0.0162,0.7474,0.0166,0.8303,0.0099,0.8101,0.0088,297.2,2.2804,1.857,0.0598,6.2489,0.214,2.4091,0.0364
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.6103,0.012,0.7552,0.0172,0.5367,0.013,0.7695,0.0107,420.6,23.5966,4.5704,0.1474,10.8865,0.5456,0.1556,0.0253
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.7597,0.0115,0.7963,0.0159,0.8724,0.0098,0.8405,0.0069,420.6,23.5966,4.5704,0.1474,10.8865,0.5456,0.5904,0.014
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.7299,0.0145,0.7516,0.0157,0.8309,0.0101,0.8112,0.0093,420.6,23.5966,4.5704,0.1474,10.8865,0.5456,3.6209,0.1717
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,DT,0.6754,0.0133,0.6961,0.0168,0.564,0.0087,0.7692,0.0069,5071.2,0.4472,0.5591,0.4051,0.1102,0.0799,0.3574,0.024
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,LightGBM,0.8968,0.0187,0.7226,0.0183,0.9058,0.0049,0.8339,0.0083,5071.2,0.4472,0.5591,0.4051,0.1102,0.0799,0.4827,0.0193
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,RF,0.8605,0.0142,0.6589,0.0178,0.8608,0.0043,0.7919,0.0084,5071.2,0.4472,0.5591,0.4051,0.1102,0.0799,4.6079,0.1631
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,None,None,--,DT,0.6834,0.0075,0.6969,0.0155,0.5698,0.0038,0.772,0.0057,0.0,0.0,0.001,0.0001,,,0.1286,0.0064
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,None,None,--,LightGBM,0.9061,0.0118,0.7199,0.0177,0.908,0.0037,0.8341,0.0087,0.0,0.0,0.001,0.0001,,,0.2916,0.0141
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,None,None,--,RF,0.872,0.015,0.6528,0.0141,0.8637,0.0036,0.7904,0.0074,0.0,0.0,0.001,0.0001,,,2.6196,0.0321
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SMOTE,Baseline,--,DT,0.6675,0.0163,0.7047,0.0182,0.5618,0.016,0.7706,0.0119,5071.2,0.4472,0.0967,0.0017,0.0191,0.0003,0.2445,0.0036
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SMOTE,Baseline,--,LightGBM,0.8799,0.0174,0.7497,0.0113,0.9067,0.0049,0.8457,0.0051,5071.2,0.4472,0.0967,0.0017,0.0191,0.0003,0.6635,0.111
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SMOTE,Baseline,--,RF,0.8407,0.0161,0.6895,0.0195,0.8637,0.0046,0.8055,0.0087,5071.2,0.4472,0.0967,0.0017,0.0191,0.0003,5.8952,0.1802
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,DT,0.6523,0.0102,0.7049,0.0122,0.5509,0.0077,0.7657,0.0059,5071.2,0.4472,3.3785,0.0822,0.6662,0.0161,0.2576,0.012
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,LightGBM,0.8488,0.0169,0.7657,0.0103,0.9022,0.0043,0.8478,0.0043,5071.2,0.4472,3.3785,0.0822,0.6662,0.0161,0.6814,0.1018
Elevators,elevators,846,16599,18,2.2357,Low,10 < Features <= 30,2,SVMSMOTE,Baseline,--,RF,0.8134,0.018,0.7029,0.0142,0.858,0.005,0.8074,0.0059,5071.2,0.4472,3.3785,0.0822,0.6662,0.0161,6.0639,0.2534
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,ADASYN,Baseline,--,DT,0.3202,0.1221,0.3926,0.1907,0.304,0.059,0.5152,0.1389,106.6,7.7006,0.0069,0.0008,0.065,0.0084,0.003,0.0001
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,ADASYN,Baseline,--,LightGBM,0.3741,0.1054,0.4419,0.16,0.3919,0.0781,0.5622,0.1054,106.6,7.7006,0.0069,0.0008,0.065,0.0084,0.0297,0.0059
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,ADASYN,Baseline,--,RF,0.391,0.1393,0.4301,0.1554,0.3997,0.0621,0.5615,0.1181,106.6,7.7006,0.0069,0.0008,0.065,0.0084,0.3759,0.1103
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.3681,0.0676,0.5051,0.1209,0.3222,0.0454,0.5851,0.0684,5.8,2.6833,0.119,0.0518,32.2337,32.406,0.0024,0.0003
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.4374,0.1165,0.5037,0.1244,0.491,0.0977,0.6179,0.0924,5.8,2.6833,0.119,0.0518,32.2337,32.406,0.0194,0.0021
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.4228,0.0847,0.5412,0.1021,0.4781,0.0604,0.6284,0.0721,5.8,2.6833,0.119,0.0518,32.2337,32.406,0.3201,0.0497
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.3581,0.028,0.5059,0.0894,0.3133,0.0228,0.5816,0.0412,7.0,1.5811,0.1017,0.0572,16.4985,11.946,0.0027,0.0012
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.4243,0.117,0.5037,0.132,0.4706,0.0764,0.6124,0.0984,7.0,1.5811,0.1017,0.0572,16.4985,11.946,0.028,0.0084
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.4177,0.0781,0.5037,0.132,0.4545,0.0527,0.6112,0.0821,7.0,1.5811,0.1017,0.0572,16.4985,11.946,0.321,0.0952
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.3634,0.0704,0.3471,0.0988,0.3002,0.0299,0.5121,0.0642,3.2,2.2804,0.0117,0.0009,6.1973,4.6645,0.0025,0.0001
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.3921,0.1191,0.2581,0.0595,0.3829,0.0771,0.4675,0.0614,3.2,2.2804,0.0117,0.0009,6.1973,4.6645,0.0361,0.0177
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.3576,0.1233,0.2824,0.1053,0.3897,0.0442,0.4744,0.1015,3.2,2.2804,0.0117,0.0009,6.1973,4.6645,0.3118,0.1063
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.3591,0.0466,0.2978,0.1146,0.2909,0.0074,0.4753,0.069,8.0,4.062,0.0243,0.0088,5.4968,6.4784,0.0047,0.0038
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.3805,0.125,0.3066,0.1225,0.3901,0.0741,0.4958,0.1064,8.0,4.062,0.0243,0.0088,5.4968,6.4784,0.0323,0.0231
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.387,0.1195,0.2691,0.1325,0.3947,0.0357,0.4688,0.117,8.0,4.062,0.0243,0.0088,5.4968,6.4784,0.3543,0.0876
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o SVM,w/o SVM,--,DT,0.3426,0.0553,0.4926,0.1166,0.3075,0.0373,0.5664,0.06,73.4,10.5499,0.0878,0.0689,1.1813,0.822,0.004,0.0033
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.4138,0.0553,0.6412,0.1301,0.4654,0.0517,0.6506,0.0553,73.4,10.5499,0.0878,0.0689,1.1813,0.822,0.0228,0.0017
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BSSMOTE w/o SVM,w/o SVM,--,RF,0.3891,0.0654,0.5912,0.1334,0.432,0.0815,0.6236,0.0705,73.4,10.5499,0.0878,0.0689,1.1813,0.822,0.3219,0.0659
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BorderlineSMOTE,Baseline,--,DT,0.3146,0.0623,0.3324,0.0885,0.2846,0.028,0.4915,0.0674,115.2,0.4472,0.0086,0.0053,0.0751,0.0461,0.0032,0.0004
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BorderlineSMOTE,Baseline,--,LightGBM,0.3758,0.1099,0.4301,0.12,0.3808,0.0737,0.5615,0.092,115.2,0.4472,0.0086,0.0053,0.0751,0.0461,0.0343,0.0099
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,BorderlineSMOTE,Baseline,--,RF,0.3867,0.1363,0.3934,0.1421,0.4093,0.0744,0.5449,0.1141,115.2,0.4472,0.0086,0.0053,0.0751,0.0461,0.4333,0.1745
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3584,0.06,0.5059,0.1177,0.3142,0.0358,0.5769,0.0522,8.0,1.2247,0.197,0.0955,24.965,11.7872,0.0043,0.0033
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.4484,0.1283,0.5287,0.1118,0.4935,0.0921,0.6324,0.0906,8.0,1.2247,0.197,0.0955,24.965,11.7872,0.0249,0.0132
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.4309,0.0762,0.5169,0.1176,0.4791,0.0442,0.6215,0.0749,8.0,1.2247,0.197,0.0955,24.965,11.7872,0.3662,0.1969
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3373,0.0361,0.4809,0.0976,0.3015,0.0256,0.5608,0.0442,7.4,2.881,0.1685,0.0793,22.911,6.2309,0.0043,0.0037
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.4399,0.1137,0.5037,0.1526,0.4619,0.0965,0.6173,0.1052,7.4,2.881,0.1685,0.0793,22.911,6.2309,0.034,0.013
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.3978,0.0738,0.5162,0.1483,0.4475,0.0595,0.6058,0.0854,7.4,2.881,0.1685,0.0793,22.911,6.2309,0.3945,0.2798
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,DT,0.3853,0.1025,0.3331,0.0931,0.3059,0.0421,0.5077,0.0693,115.2,0.4472,0.145,0.1513,1.2598,1.3165,0.0055,0.0026
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,LightGBM,0.4069,0.1358,0.3426,0.154,0.3996,0.0793,0.5228,0.1212,115.2,0.4472,0.145,0.1513,1.2598,1.3165,0.0763,0.0652
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,RF,0.4033,0.1493,0.3066,0.1225,0.4115,0.083,0.5006,0.1117,115.2,0.4472,0.145,0.1513,1.2598,1.3165,0.5438,0.4009
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,None,None,--,DT,0.3296,0.0669,0.3353,0.1656,0.2937,0.0374,0.4896,0.1095,0.0,0.0,0.0026,0.0012,,,0.0052,0.0029
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,None,None,--,LightGBM,0.3545,0.0855,0.2581,0.0741,0.3773,0.0737,0.459,0.0663,0.0,0.0,0.0026,0.0012,,,0.0355,0.0304
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,None,None,--,RF,0.3976,0.093,0.2831,0.0649,0.4058,0.0581,0.4862,0.0614,0.0,0.0,0.0026,0.0012,,,0.375,0.1245
