Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BorderlineSMOTE,Baseline,--,LightGBM,0.3947,0.0661,0.466,0.1113,0.4117,0.0571,0.5963,0.0643,313.6,0.5477,0.0048,0.0002,0.0153,0.0007,0.0378,0.0005
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,BorderlineSMOTE,Baseline,--,RF,0.407,0.0493,0.4665,0.0533,0.4116,0.0436,0.6036,0.0326,313.6,0.5477,0.0048,0.0002,0.0153,0.0007,0.2248,0.0102
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3094,0.0337,0.3881,0.0958,0.2765,0.0212,0.5267,0.055,20.8,1.4832,0.0403,0.0022,1.9502,0.2242,0.0021,0.0001
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.4036,0.0824,0.427,0.1012,0.4298,0.078,0.5778,0.0722,20.8,1.4832,0.0403,0.0022,1.9502,0.2242,0.025,0.0078
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.3827,0.0643,0.4214,0.0818,0.4364,0.0661,0.5703,0.0511,20.8,1.4832,0.0403,0.0022,1.9502,0.2242,0.1824,0.013
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3143,0.0306,0.3994,0.0938,0.2807,0.0185,0.5321,0.0433,19.8,4.0249,0.0667,0.0405,3.458,2.0464,0.0025,0.0007
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.4084,0.0917,0.4438,0.1205,0.4386,0.078,0.5875,0.0844,19.8,4.0249,0.0667,0.0405,3.458,2.0464,0.024,0.0062
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.3843,0.0754,0.4325,0.08,0.4307,0.0733,0.5773,0.0583,19.8,4.0249,0.0667,0.0405,3.458,2.0464,0.1975,0.0534
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,DT,0.3543,0.0589,0.326,0.0867,0.2982,0.0312,0.5096,0.0629,313.6,0.5477,0.0251,0.0086,0.08,0.0272,0.0044,0.0007
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,LightGBM,0.4621,0.0644,0.354,0.0855,0.4319,0.0471,0.55,0.0599,313.6,0.5477,0.0251,0.0086,0.08,0.0272,0.0465,0.0033
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,KMeansSMOTE,Baseline,--,RF,0.4577,0.0783,0.3705,0.0617,0.426,0.0629,0.5625,0.0475,313.6,0.5477,0.0251,0.0086,0.08,0.0272,0.2355,0.0219
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,None,None,--,DT,0.3754,0.0687,0.2978,0.0427,0.2988,0.0301,0.4981,0.0312,0.0,0.0,0.001,0.0003,,,0.0026,0.0005
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,None,None,--,LightGBM,0.4941,0.0718,0.3481,0.1048,0.4265,0.0611,0.5487,0.0766,0.0,0.0,0.001,0.0003,,,0.0256,0.0018
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,None,None,--,RF,0.4736,0.102,0.3371,0.0531,0.4129,0.0509,0.5424,0.0469,0.0,0.0,0.001,0.0003,,,0.2086,0.0503
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SMOTE,Baseline,--,DT,0.3085,0.0536,0.3324,0.0851,0.2786,0.0232,0.5001,0.0589,313.6,0.5477,0.0034,0.0003,0.0109,0.0011,0.0039,0.001
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SMOTE,Baseline,--,LightGBM,0.3857,0.0668,0.4162,0.0757,0.4249,0.0404,0.5681,0.051,313.6,0.5477,0.0034,0.0003,0.0109,0.0011,0.0383,0.0006
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SMOTE,Baseline,--,RF,0.4026,0.0648,0.433,0.0614,0.415,0.0301,0.5818,0.0288,313.6,0.5477,0.0034,0.0003,0.0109,0.0011,0.2343,0.0056
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SVMSMOTE,Baseline,--,DT,0.3842,0.068,0.3656,0.0554,0.3162,0.0286,0.5414,0.0385,313.6,0.5477,0.0166,0.0014,0.0529,0.0044,0.0034,0.0001
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SVMSMOTE,Baseline,--,LightGBM,0.4433,0.084,0.4164,0.0947,0.427,0.0509,0.5835,0.0633,313.6,0.5477,0.0166,0.0014,0.0529,0.0044,0.0389,0.0011
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,SVMSMOTE,Baseline,--,RF,0.4507,0.0883,0.3935,0.0551,0.4116,0.0346,0.5749,0.0418,313.6,0.5477,0.0166,0.0014,0.0529,0.0044,0.2262,0.0061
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,ADASYN,Baseline,--,DT,0.7643,0.0203,0.8397,0.0134,0.6905,0.0232,0.8634,0.0121,2556.4,50.1129,0.2342,0.0535,0.0915,0.0201,0.1665,0.0237
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,ADASYN,Baseline,--,LightGBM,0.8492,0.013,0.8946,0.0057,0.9565,0.0038,0.9126,0.0055,2556.4,50.1129,0.2342,0.0535,0.0915,0.0201,0.3088,0.0923
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,ADASYN,Baseline,--,RF,0.8193,0.0054,0.9007,0.0082,0.9416,0.0055,0.9073,0.005,2556.4,50.1129,0.2342,0.0535,0.0915,0.0201,3.5225,0.6455
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.7199,0.0103,0.8983,0.0212,0.6775,0.013,0.873,0.0095,199.0,0.0,0.3407,0.4308,1.7123,2.1648,0.0754,0.0013
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.7665,0.0135,0.9249,0.0139,0.9327,0.0102,0.9009,0.0055,199.0,0.0,0.3407,0.4308,1.7123,2.1648,0.2278,0.0608
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.7631,0.0175,0.9253,0.0101,0.9373,0.0065,0.8999,0.0045,199.0,0.0,0.3407,0.4308,1.7123,2.1648,1.6486,0.2807
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.7268,0.0136,0.8926,0.0177,0.6812,0.0148,0.8732,0.0093,65.0,10.4163,0.8719,0.6198,14.24,11.2484,0.0846,0.0139
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.7606,0.0126,0.9265,0.013,0.9313,0.0092,0.8996,0.0073,65.0,10.4163,0.8719,0.6198,14.24,11.2484,0.2086,0.0375
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.7566,0.0173,0.9277,0.0134,0.9409,0.0041,0.8985,0.0041,65.0,10.4163,0.8719,0.6198,14.24,11.2484,1.6329,0.2758
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.8069,0.0062,0.8115,0.0136,0.7118,0.0086,0.862,0.0069,423.0,16.4773,0.2599,0.068,0.6184,0.1833,0.1102,0.0104
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.8855,0.0098,0.8644,0.0114,0.9585,0.0036,0.9069,0.0057,423.0,16.4773,0.2599,0.068,0.6184,0.1833,0.2347,0.0567
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.8825,0.0076,0.8543,0.0158,0.952,0.0033,0.9011,0.0072,423.0,16.4773,0.2599,0.068,0.6184,0.1833,2.0655,0.3194
