Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Haberman,43,Features <= 10,2.7778,Low,3,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4228 ± 0.0847,0.5412 ± 0.1021,0.4781 ± 0.0604,0.6284 ± 0.0721
Haberman,43,Features <= 10,2.7778,Low,3,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4177 ± 0.0781,0.5037 ± 0.1320,0.4545 ± 0.0527,0.6112 ± 0.0821
Haberman,43,Features <= 10,2.7778,Low,3,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.3576 ± 0.1233,0.2824 ± 0.1053,0.3897 ± 0.0442,0.4744 ± 0.1015
Haberman,43,Features <= 10,2.7778,Low,3,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.3870 ± 0.1195,0.2691 ± 0.1325,0.3947 ± 0.0357,0.4688 ± 0.1170
Haberman,43,Features <= 10,2.7778,Low,3,RF,BSSMOTE w/o SVM,w/o SVM,--,0.3891 ± 0.0654,0.5912 ± 0.1334,0.4320 ± 0.0815,0.6236 ± 0.0705
Haberman,43,Features <= 10,2.7778,Low,3,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4309 ± 0.0762,0.5169 ± 0.1176,0.4791 ± 0.0442,0.6215 ± 0.0749
Haberman,43,Features <= 10,2.7778,Low,3,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3978 ± 0.0738,0.5162 ± 0.1483,0.4475 ± 0.0595,0.6058 ± 0.0854
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.1906 ± 0.0142,0.7884 ± 0.0544,0.1558 ± 0.0146,0.8511 ± 0.0271
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.1929 ± 0.0144,0.8000 ± 0.0811,0.1601 ± 0.0216,0.8570 ± 0.0417
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.5787 ± 0.0666,0.6039 ± 0.0948,0.3635 ± 0.0926,0.7711 ± 0.0605
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.6247 ± 0.0907,0.6000 ± 0.0614,0.3890 ± 0.0911,0.7704 ± 0.0406
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,BSSMOTE w/o SVM,w/o SVM,--,0.2044 ± 0.0089,0.7962 ± 0.0399,0.1684 ± 0.0129,0.8585 ± 0.0211
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.1918 ± 0.0185,0.8154 ± 0.0292,0.1612 ± 0.0136,0.8647 ± 0.0118
Mammography,310,Features <= 10,42.0115,Extreme,6,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.2028 ± 0.0250,0.8115 ± 0.0370,0.1695 ± 0.0202,0.8651 ± 0.0171
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.2388 ± 0.0117,0.7923 ± 0.0750,0.5280 ± 0.0597,0.8619 ± 0.0384
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.2314 ± 0.0145,0.8000 ± 0.0661,0.5430 ± 0.0856,0.8647 ± 0.0331
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8103 ± 0.0605,0.6192 ± 0.0671,0.7588 ± 0.0454,0.7846 ± 0.0431
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8105 ± 0.0472,0.6731 ± 0.0471,0.7625 ± 0.0475,0.8185 ± 0.0289
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.1998 ± 0.0130,0.8846 ± 0.0509,0.5600 ± 0.0473,0.8996 ± 0.0249
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.2277 ± 0.0087,0.8000 ± 0.0661,0.5287 ± 0.0630,0.8642 ± 0.0331
Mammography,310,Features <= 10,42.0115,Extreme,6,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.2281 ± 0.0201,0.8308 ± 0.0551,0.5328 ± 0.0397,0.8798 ± 0.0276
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.2101 ± 0.0210,0.7961 ± 0.0727,0.5827 ± 0.0163,0.8584 ± 0.0328
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.2125 ± 0.0107,0.7885 ± 0.0720,0.5944 ± 0.0340,0.8555 ± 0.0349
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8915 ± 0.0582,0.5462 ± 0.0845,0.7444 ± 0.0487,0.7365 ± 0.0581
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8218 ± 0.0587,0.5808 ± 0.0629,0.7539 ± 0.0390,0.7601 ± 0.0408
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,BSSMOTE w/o SVM,w/o SVM,--,0.2772 ± 0.0120,0.8577 ± 0.0349,0.5781 ± 0.0494,0.9009 ± 0.0181
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.2276 ± 0.0130,0.7923 ± 0.0737,0.5943 ± 0.0056,0.8600 ± 0.0363
Mammography,310,Features <= 10,42.0115,Extreme,6,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.2584 ± 0.0380,0.8077 ± 0.0757,0.5868 ± 0.0330,0.8725 ± 0.0412
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.6284 ± 0.0267,0.9036 ± 0.0092,0.5767 ± 0.0252,0.9245 ± 0.0056
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.6359 ± 0.0198,0.9054 ± 0.0180,0.5843 ± 0.0152,0.9262 ± 0.0077
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8241 ± 0.0173,0.8291 ± 0.0167,0.6988 ± 0.0113,0.9024 ± 0.0084
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8121 ± 0.0259,0.8365 ± 0.0187,0.6941 ± 0.0192,0.9055 ± 0.0092
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,BSSMOTE w/o SVM,w/o SVM,--,0.5158 ± 0.0113,0.9243 ± 0.0197,0.4836 ± 0.0102,0.9183 ± 0.0080
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.6318 ± 0.0145,0.8993 ± 0.0129,0.5774 ± 0.0140,0.9229 ± 0.0062
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.6361 ± 0.0301,0.9109 ± 0.0127,0.5876 ± 0.0288,0.9289 ± 0.0071
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7728 ± 0.0300,0.9048 ± 0.0188,0.8989 ± 0.0149,0.9382 ± 0.0088
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7647 ± 0.0229,0.9060 ± 0.0212,0.9106 ± 0.0075,0.9383 ± 0.0098
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9218 ± 0.0182,0.8542 ± 0.0228,0.9268 ± 0.0141,0.9207 ± 0.0126
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9083 ± 0.0200,0.8676 ± 0.0222,0.9270 ± 0.0153,0.9273 ± 0.0120
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.5076 ± 0.0191,0.9365 ± 0.0101,0.9034 ± 0.0190,0.9222 ± 0.0050
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7616 ± 0.0335,0.9030 ± 0.0173,0.9055 ± 0.0177,0.9364 ± 0.0078
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7574 ± 0.0311,0.9103 ± 0.0194,0.9059 ± 0.0196,0.9398 ± 0.0093
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7402 ± 0.0280,0.9030 ± 0.0153,0.8731 ± 0.0214,0.9348 ± 0.0076
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7396 ± 0.0233,0.9030 ± 0.0173,0.8780 ± 0.0169,0.9348 ± 0.0084
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9299 ± 0.0157,0.8401 ± 0.0191,0.9174 ± 0.0156,0.9136 ± 0.0106
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9154 ± 0.0220,0.8591 ± 0.0185,0.9166 ± 0.0148,0.9231 ± 0.0097
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,BSSMOTE w/o SVM,w/o SVM,--,0.6102 ± 0.0268,0.9249 ± 0.0134,0.8606 ± 0.0246,0.9325 ± 0.0078
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7492 ± 0.0256,0.9042 ± 0.0172,0.8662 ± 0.0229,0.9362 ± 0.0087
Pulsar (HTRU2),45558,Features <= 10,9.9201,Medium,8,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7543 ± 0.0267,0.9060 ± 0.0155,0.8747 ± 0.0140,0.9375 ± 0.0074
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7479 ± 0.0929,0.8796 ± 0.0655,0.6966 ± 0.0866,0.8646 ± 0.0417
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7511 ± 0.1028,0.8655 ± 0.0598,0.6933 ± 0.0941,0.8594 ± 0.0422
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8135 ± 0.0564,0.8377 ± 0.0416,0.7330 ± 0.0443,0.8707 ± 0.0204
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.7976 ± 0.0672,0.8384 ± 0.0522,0.7214 ± 0.0649,0.8662 ± 0.0347
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7349 ± 0.0842,0.8943 ± 0.0352,0.6894 ± 0.0629,0.8651 ± 0.0211
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7433 ± 0.0941,0.8724 ± 0.0703,0.6887 ± 0.0838,0.8590 ± 0.0393
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7586 ± 0.0999,0.8798 ± 0.0418,0.7057 ± 0.0893,0.8684 ± 0.0368
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8094 ± 0.0730,0.8944 ± 0.0254,0.9072 ± 0.0557,0.8947 ± 0.0230
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8136 ± 0.0569,0.9015 ± 0.0153,0.9063 ± 0.0477,0.9002 ± 0.0138
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8681 ± 0.0404,0.8734 ± 0.0310,0.9053 ± 0.0375,0.9042 ± 0.0221
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8538 ± 0.0595,0.8872 ± 0.0169,0.9046 ± 0.0377,0.9065 ± 0.0251
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.7862 ± 0.0771,0.9224 ± 0.0295,0.9057 ± 0.0629,0.8983 ± 0.0331
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8263 ± 0.0666,0.9084 ± 0.0196,0.9006 ± 0.0540,0.9069 ± 0.0180
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.8101 ± 0.0706,0.9015 ± 0.0295,0.9034 ± 0.0529,0.8983 ± 0.0269
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8473 ± 0.0465,0.9158 ± 0.0307,0.9186 ± 0.0452,0.9172 ± 0.0093
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8473 ± 0.0465,0.9158 ± 0.0307,0.9159 ± 0.0524,0.9172 ± 0.0093
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8880 ± 0.0488,0.8737 ± 0.0290,0.9185 ± 0.0385,0.9091 ± 0.0193
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8654 ± 0.0574,0.8806 ± 0.0304,0.9221 ± 0.0316,0.9061 ± 0.0210
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,BSSMOTE w/o SVM,w/o SVM,--,0.7838 ± 0.0449,0.9298 ± 0.0348,0.9066 ± 0.0554,0.9020 ± 0.0119
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8430 ± 0.0554,0.9158 ± 0.0307,0.9139 ± 0.0502,0.9155 ± 0.0108
Wholesale-customers,1511,Features <= 10,2.0986,Low,8,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.8473 ± 0.0590,0.9018 ± 0.0376,0.9206 ± 0.0378,0.9099 ± 0.0070
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7343 ± 0.0433,0.7856 ± 0.0324,0.5883 ± 0.0381,0.8789 ± 0.0179
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7315 ± 0.0373,0.7742 ± 0.0530,0.5780 ± 0.0370,0.8722 ± 0.0289
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.7882 ± 0.0477,0.8048 ± 0.0504,0.6455 ± 0.0612,0.8912 ± 0.0282
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.7611 ± 0.0465,0.7590 ± 0.0691,0.5904 ± 0.0577,0.8644 ± 0.0392
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,BSSMOTE w/o SVM,w/o SVM,--,0.6920 ± 0.0547,0.8966 ± 0.0394,0.6257 ± 0.0493,0.9357 ± 0.0194
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7164 ± 0.0693,0.7857 ± 0.0497,0.5752 ± 0.0699,0.8780 ± 0.0285
Wilt,40983,Features <= 10,17.5402,Medium,5,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7321 ± 0.0405,0.7666 ± 0.0542,0.5735 ± 0.0442,0.8680 ± 0.0305
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8448 ± 0.0132,0.8124 ± 0.0269,0.9163 ± 0.0187,0.8974 ± 0.0147
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8596 ± 0.0271,0.8163 ± 0.0386,0.9158 ± 0.0240,0.8998 ± 0.0210
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8795 ± 0.0194,0.8085 ± 0.0265,0.9162 ± 0.0228,0.8962 ± 0.0146
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8941 ± 0.0231,0.8048 ± 0.0395,0.9247 ± 0.0257,0.8945 ± 0.0222
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.7829 ± 0.0382,0.9003 ± 0.0419,0.9201 ± 0.0272,0.9417 ± 0.0213
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8529 ± 0.0137,0.8238 ± 0.0366,0.9058 ± 0.0242,0.9038 ± 0.0201
Wilt,40983,Features <= 10,17.5402,Medium,5,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.8662 ± 0.0391,0.8355 ± 0.0405,0.9199 ± 0.0248,0.9104 ± 0.0224
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8701 ± 0.0273,0.7628 ± 0.0530,0.9086 ± 0.0103,0.8701 ± 0.0303
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8671 ± 0.0219,0.7474 ± 0.0495,0.9020 ± 0.0122,0.8613 ± 0.0286
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9052 ± 0.0260,0.7322 ± 0.0755,0.9141 ± 0.0271,0.8529 ± 0.0444
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9143 ± 0.0434,0.7399 ± 0.0772,0.9152 ± 0.0165,0.8575 ± 0.0459
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,BSSMOTE w/o SVM,w/o SVM,--,0.8256 ± 0.0234,0.9044 ± 0.0348,0.8969 ± 0.0239,0.9457 ± 0.0184
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8640 ± 0.0212,0.7552 ± 0.0676,0.8899 ± 0.0260,0.8654 ± 0.0391
Wilt,40983,Features <= 10,17.5402,Medium,5,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.8872 ± 0.0055,0.7551 ± 0.0453,0.9057 ± 0.0180,0.8663 ± 0.0264
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9198 ± 0.0348,0.9650 ± 0.0285,0.8914 ± 0.0474,0.9776 ± 0.0152
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9151 ± 0.0345,0.9600 ± 0.0335,0.8827 ± 0.0479,0.9747 ± 0.0175
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9604 ± 0.0453,0.9550 ± 0.0512,0.9227 ± 0.0754,0.9748 ± 0.0277
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9568 ± 0.0308,0.9650 ± 0.0285,0.9263 ± 0.0188,0.9798 ± 0.0132
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,BSSMOTE w/o SVM,w/o SVM,--,0.9471 ± 0.0658,0.9850 ± 0.0137,0.9339 ± 0.0572,0.9891 ± 0.0047
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9225 ± 0.0473,0.9800 ± 0.0326,0.9058 ± 0.0480,0.9851 ± 0.0159
Mfeat-fourier,971,Features > 30,9.0,Medium,76,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9249 ± 0.0459,0.9600 ± 0.0224,0.8919 ± 0.0474,0.9753 ± 0.0115
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9988 ± 0.0016,0.9921 ± 0.0119
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9986 ± 0.0019,0.9921 ± 0.0119
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9992 ± 0.0012,0.9921 ± 0.0119
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.9800 ± 0.0209,0.9985 ± 0.0023,0.9899 ± 0.0106
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9767 ± 0.0394,0.9850 ± 0.0224,0.9970 ± 0.0058,0.9910 ± 0.0112
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9851 ± 0.0223,0.9800 ± 0.0209,0.9985 ± 0.0020,0.9891 ± 0.0113
Mfeat-fourier,971,Features > 30,9.0,Medium,76,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9950 ± 0.0112,0.9800 ± 0.0209,0.9986 ± 0.0017,0.9896 ± 0.0107
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9995 ± 0.0010,0.9848 ± 0.0106
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,1.0000 ± 0.0000,0.9650 ± 0.0285,0.9996 ± 0.0005,0.9823 ± 0.0145
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,1.0000 ± 0.0000,0.9600 ± 0.0285,0.9995 ± 0.0007,0.9797 ± 0.0145
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,BSSMOTE w/o SVM,w/o SVM,--,1.0000 ± 0.0000,0.9600 ± 0.0379,0.9997 ± 0.0008,0.9796 ± 0.0195
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106
Mfeat-fourier,971,Features > 30,9.0,Medium,76,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,1.0000 ± 0.0000,0.9750 ± 0.0177,0.9997 ± 0.0008,0.9874 ± 0.0089
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8525 ± 0.0666,0.7850 ± 0.0335,0.6911 ± 0.0640,0.8789 ± 0.0195
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8579 ± 0.0580,0.8000 ± 0.0306,0.7070 ± 0.0606,0.8876 ± 0.0183
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.7959 ± 0.0667,0.8250 ± 0.0637,0.6756 ± 0.0853,0.8969 ± 0.0359
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.7843 ± 0.0155,0.8150 ± 0.0627,0.6573 ± 0.0396,0.8909 ± 0.0332
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7447 ± 0.0052,0.8600 ± 0.0518,0.6544 ± 0.0329,0.9117 ± 0.0264
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8152 ± 0.0924,0.8100 ± 0.0762,0.6755 ± 0.0545,0.8890 ± 0.0371
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7840 ± 0.0902,0.8650 ± 0.0487,0.6950 ± 0.1083,0.9171 ± 0.0319
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9950 ± 0.0112,0.9450 ± 0.0570,0.9893 ± 0.0082,0.9715 ± 0.0296
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9894 ± 0.0145,0.9350 ± 0.0518,0.9892 ± 0.0091,0.9661 ± 0.0269
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9893 ± 0.0146,0.9000 ± 0.0810,0.9899 ± 0.0062,0.9474 ± 0.0431
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9947 ± 0.0118,0.9450 ± 0.0411,0.9919 ± 0.0052,0.9717 ± 0.0212
