Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.0980 ± 0.0142,0.5849 ± 0.0495,0.0633 ± 0.0061,0.7300 ± 0.0232
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7471 ± 0.0642,0.5000 ± 0.0671,0.6681 ± 0.0650,0.7049 ± 0.0475
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7197 ± 0.1357,0.4470 ± 0.1598,0.6636 ± 0.1330,0.6591 ± 0.1188
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8295 ± 0.0286,0.4970 ± 0.1100,0.6940 ± 0.0832,0.7010 ± 0.0768
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8317 ± 0.1222,0.4818 ± 0.0907,0.6872 ± 0.0858,0.6910 ± 0.0663
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.4733 ± 0.0948,0.6727 ± 0.1224,0.6099 ± 0.0905,0.8124 ± 0.0753
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.6757 ± 0.1848,0.4637 ± 0.1490,0.6149 ± 0.0935,0.6722 ± 0.1100
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3723 ± 0.2819,0.4970 ± 0.1300,0.4588 ± 0.1645,0.6923 ± 0.0999
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.1527 ± 0.1849,0.1182 ± 0.0944,0.1387 ± 0.0991,0.2943 ± 0.1858
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.2357 ± 0.2710,0.1515 ± 0.1226,0.1803 ± 0.1235,0.3366 ± 0.2126
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.4000 ± 0.4183,0.0682 ± 0.0703,0.5914 ± 0.1472,0.1996 ± 0.1880
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.5333 ± 0.5055,0.1000 ± 0.0913,0.5671 ± 0.1791,0.2449 ± 0.2235
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,BSSMOTE w/o SVM,w/o SVM,--,0.4441 ± 0.0444,0.5303 ± 0.1338,0.4856 ± 0.1240,0.7195 ± 0.0914
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.1467 ± 0.2921,0.1000 ± 0.1491,0.1748 ± 0.1267,0.1954 ± 0.2747
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.0527 ± 0.0364,0.1364 ± 0.0721,0.0863 ± 0.0336,0.3506 ± 0.0895
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.6200 ± 0.0126,0.7573 ± 0.0182,0.5447 ± 0.0143,0.7746 ± 0.0116
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.6158 ± 0.0145,0.7561 ± 0.0165,0.5411 ± 0.0155,0.7723 ± 0.0121
