Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.0,0.75,0.23076923076923078,0.34285714285714286,0.23373708021678347,0.47175882713251227,23,23,137,-114,0.05061697959899902,2.2007382434347402,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.01,0.75,0.3157894736842105,0.5,0.29610466923558953,0.5735393346764044,24,24,117,-93,0.046889543533325195,1.9537309805552163,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.01,0.75,0.34375,0.3055555555555556,0.2961821529735471,0.49926847071285524,14,14,122,-108,0.0524752140045166,3.7482295717511858,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.01,0.75,0.3142857142857143,0.3055555555555556,0.2718432008608621,0.4911497431287515,20,20,107,-87,0.04646635055541992,2.323317527770996,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.01,0.75,0.3333333333333333,0.4857142857142857,0.28659913993531405,0.5838254279541227,18,18,118,-100,0.045983076095581055,2.554615338643392,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.01,0.75,0.23076923076923078,0.34285714285714286,0.23373708021678347,0.47175882713251227,23,23,137,-114,0.04413437843322754,1.91888601883598,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,0.75,0.3157894736842105,0.5,0.29610466923558953,0.5735393346764044,24,24,117,-93,0.0453333854675293,1.888891061147054,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,0.75,0.34375,0.3055555555555556,0.2961821529735471,0.49926847071285524,14,14,122,-108,0.0466458797454834,3.3318485532488142,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,0.75,0.3142857142857143,0.3055555555555556,0.2718432008608621,0.4911497431287515,20,20,107,-87,0.04552102088928223,2.2760510444641113,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,0.75,0.3333333333333333,0.4857142857142857,0.28659913993531405,0.5838254279541227,18,18,118,-100,0.04638409614562988,2.5768942303127713,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,0.75,0.2641509433962264,0.4,0.2528072723722538,0.5129891760425771,23,23,137,-114,0.05097198486328125,2.2161732549252715,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.1,0.75,0.3157894736842105,0.5,0.29610466923558953,0.5735393346764044,24,24,117,-93,0.04671597480773926,1.946498950322469,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.1,0.75,0.34375,0.3055555555555556,0.2961821529735471,0.49926847071285524,14,14,122,-108,0.04708433151245117,3.363166536603655,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.1,0.75,0.3235294117647059,0.3055555555555556,0.27466766397944287,0.4938708151594674,20,20,107,-87,0.04697895050048828,2.348947525024414,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.1,0.75,0.3333333333333333,0.4857142857142857,0.28659913993531405,0.5838254279541227,18,18,118,-100,0.05010533332824707,2.7836296293470593,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.1,0.75,0.2641509433962264,0.4,0.2528072723722538,0.5129891760425771,23,23,137,-114,0.04638791084289551,2.0168656888215435,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.0,0.75,0.7436332767402377,0.8830645161290323,0.6920635910626505,0.8754451436127026,156,156,1020,-864,0.30326032638549805,1.94397645118909,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.0,0.75,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.33414220809936523,2.1697545980478266,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.0,0.75,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.322983980178833,2.167677719321027,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.0,0.75,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.31630754470825195,2.0406938368274323,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.0,0.75,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.3094050884246826,2.0490403206932624,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.01,0.75,0.7436332767402377,0.8830645161290323,0.6920635910626505,0.8754451436127026,156,156,1020,-864,0.3106052875518799,1.9910595355889738,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.01,0.75,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.3142886161804199,2.0408351700027265,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.01,0.75,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.3248279094696045,2.1800530836886205,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.01,0.75,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.3114337921142578,2.0092502717048895,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.01,0.75,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.3148527145385742,2.085117314824995,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.05,0.75,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.30784177780151367,1.9733447294968822,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.05,0.75,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.30389881134033203,1.9733689048073506,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.05,0.75,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.29700160026550293,1.993299330640959,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.05,0.75,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,0.3122138977050781,2.014283211000504,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.05,0.75,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,0.31034278869628906,2.055250256266815,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,linear,0.1,0.75,0.7431972789115646,0.8810483870967742,0.6907903233672379,0.8744452059435888,156,156,1020,-864,0.2994086742401123,1.9192863733340533,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,linear,0.1,0.75,0.7188498402555911,0.907258064516129,0.680248208585722,0.8761037524834432,154,154,1041,-887,0.31888318061828613,2.070670004014845,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,linear,0.1,0.75,0.7205651491365777,0.9272727272727272,0.6901384329955759,0.8847983106813586,149,149,1029,-880,0.40921568870544434,2.7464140181573446,success,
