Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8825 ± 0.0076,0.8543 ± 0.0158,0.9520 ± 0.0033,0.9011 ± 0.0072
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8803 ± 0.0044,0.8547 ± 0.0145,0.9509 ± 0.0045,0.9009 ± 0.0072
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BSSMOTE w/o SVM,w/o SVM,--,0.7332 ± 0.0144,0.9479 ± 0.0145,0.9338 ± 0.0089,0.8977 ± 0.0039
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,BorderlineSMOTE,Baseline,--,0.8246 ± 0.0097,0.9031 ± 0.0057,0.9407 ± 0.0040,0.9099 ± 0.0047
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7619 ± 0.0188,0.9237 ± 0.0101,0.9376 ± 0.0060,0.8987 ± 0.0049
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7569 ± 0.0168,0.9342 ± 0.0065,0.9400 ± 0.0044,0.9013 ± 0.0041
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,KMeansSMOTE,Baseline,--,0.8905 ± 0.0141,0.8425 ± 0.0062,0.9511 ± 0.0054,0.8970 ± 0.0052
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,None,None,--,0.9045 ± 0.0025,0.8377 ± 0.0140,0.9525 ± 0.0040,0.8976 ± 0.0071
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,SMOTE,Baseline,--,0.8594 ± 0.0049,0.8757 ± 0.0093,0.9504 ± 0.0034,0.9062 ± 0.0047
CPU small,735,10 < Features <= 30,2.3072,Low,12,RF,SVMSMOTE,Baseline,--,0.8256 ± 0.0086,0.9132 ± 0.0092,0.9474 ± 0.0029,0.9148 ± 0.0063
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,ADASYN,Baseline,--,0.3485 ± 0.0947,0.5318 ± 0.1374,0.2025 ± 0.1060,0.7191 ± 0.0907
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.1390 ± 0.0984,0.6015 ± 0.0890,0.0831 ± 0.0386,0.7399 ± 0.0425
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.1085 ± 0.0247,0.6197 ± 0.0537,0.0727 ± 0.0149,0.7521 ± 0.0275
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.5343 ± 0.1155,0.5152 ± 0.1237,0.2918 ± 0.1137,0.7110 ± 0.0874
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.5093 ± 0.2212,0.4818 ± 0.1232,0.2699 ± 0.1605,0.6866 ± 0.0920
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BSSMOTE w/o SVM,w/o SVM,--,0.2068 ± 0.0882,0.5515 ± 0.1386,0.1285 ± 0.0730,0.7247 ± 0.0924
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,BorderlineSMOTE,Baseline,--,0.4351 ± 0.0938,0.4818 ± 0.0907,0.2225 ± 0.0729,0.6882 ± 0.0663
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.1490 ± 0.0933,0.6197 ± 0.1056,0.0917 ± 0.0358,0.7539 ± 0.0570
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.0980 ± 0.0142,0.5849 ± 0.0495,0.0633 ± 0.0061,0.7300 ± 0.0232
