Dataset,OpenML_ID,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s
Mfeat-fourier,971,RF,TVAE,Deep Tabular,--,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-karhunen,1020,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8525 ± 0.0666,0.7850 ± 0.0335,0.6911 ± 0.0640,0.8789 ± 0.0195,10.8000 ± 7.2595,0.3296 ± 0.5020
Mfeat-karhunen,1020,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9950 ± 0.0112,0.9450 ± 0.0570,0.9893 ± 0.0082,0.9715 ± 0.0296,10.8000 ± 7.2595,0.3296 ± 0.5020
Mfeat-karhunen,1020,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,1.0000 ± 0.0000,0.8100 ± 0.0762,0.9921 ± 0.0066,0.8992 ± 0.0428,10.8000 ± 7.2595,0.3296 ± 0.5020
Mfeat-karhunen,1020,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.8579 ± 0.0580,0.8000 ± 0.0306,0.7070 ± 0.0606,0.8876 ± 0.0183,1.6000 ± 0.5477,0.3103 ± 0.2532
Mfeat-karhunen,1020,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9894 ± 0.0145,0.9350 ± 0.0518,0.9892 ± 0.0091,0.9661 ± 0.0269,1.6000 ± 0.5477,0.3103 ± 0.2532
Mfeat-karhunen,1020,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,1.0000 ± 0.0000,0.8150 ± 0.0840,0.9923 ± 0.0055,0.9018 ± 0.0478,1.6000 ± 0.5477,0.3103 ± 0.2532
Mfeat-karhunen,1020,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.7959 ± 0.0667,0.8250 ± 0.0637,0.6756 ± 0.0853,0.8969 ± 0.0359,103.0000 ± 56.4624,0.0196 ± 0.0061
Mfeat-karhunen,1020,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9893 ± 0.0146,0.9000 ± 0.0810,0.9899 ± 0.0062,0.9474 ± 0.0431,103.0000 ± 56.4624,0.0196 ± 0.0061
Mfeat-karhunen,1020,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,1.0000 ± 0.0000,0.7750 ± 0.0707,0.9896 ± 0.0061,0.8795 ± 0.0414,103.0000 ± 56.4624,0.0196 ± 0.0061
Mfeat-karhunen,1020,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.7843 ± 0.0155,0.8150 ± 0.0627,0.6573 ± 0.0396,0.8909 ± 0.0332,135.2000 ± 30.9386,0.0611 ± 0.0163
