Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.4815,0.8667,0.7826,0.9244,5,5.0,847.0,-842.0,1.9814,396.2795,396.2795,0.242,0.0221,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o SVM,w/o SVM,--,DT,0.2195,0.6,0.1376,0.7622,3113,3113.0,843.0,2270.0,1.7462,0.561,0.561,0.2299,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o SVM,w/o SVM,--,RF,0.4194,0.8667,0.8165,0.9226,3113,3113.0,843.0,2270.0,1.7462,0.561,0.561,2.2877,0.0254,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,1,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.375,0.8,0.7392,0.8855,3113,3113.0,843.0,2270.0,1.7462,0.561,0.561,0.5321,0.0122,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.2791,0.8,0.2262,0.8805,46,46.0,857.0,-811.0,2.2247,48.3633,48.3633,0.0596,0.0014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.4483,0.8667,0.6991,0.9235,46,46.0,857.0,-811.0,2.2247,48.3633,48.3633,0.91,0.0384,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.3462,0.6,0.6908,0.768,46,46.0,857.0,-811.0,2.2247,48.3633,48.3633,0.2489,0.0202,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.2381,0.6667,0.1636,0.8034,572,572.0,857.0,-285.0,1.6327,2.8543,2.8543,0.0596,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.3929,0.7333,0.6597,0.8491,572,572.0,857.0,-285.0,1.6327,2.8543,2.8543,0.8621,0.0234,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.3056,0.7333,0.626,0.8456,572,572.0,857.0,-285.0,1.6327,2.8543,2.8543,0.4076,0.0163,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.7143,0.6667,0.4811,0.8149,11,11.0,0.0,11.0,0.0212,1.9262,1.9262,0.0609,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.8889,0.5333,0.7203,0.7299,11,11.0,0.0,11.0,0.0212,1.9262,1.9262,0.7855,0.0219,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.8,0.5333,0.7506,0.7296,11,11.0,0.0,11.0,0.0212,1.9262,1.9262,0.1768,0.0157,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.6154,0.5333,0.3351,0.7285,722,722.0,0.0,722.0,0.0776,0.1075,0.1075,0.1006,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,1.0,0.5333,0.7183,0.7303,722,722.0,0.0,722.0,0.0776,0.1075,0.1075,0.9891,0.0214,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.8889,0.5333,0.7452,0.7299,722,722.0,0.0,722.0,0.0776,0.1075,0.1075,0.4464,0.0143,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.2791,0.8,0.2262,0.8805,1,1.0,857.0,-856.0,0.6394,639.3569,639.3569,0.0599,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.375,0.8,0.7028,0.8855,1,1.0,857.0,-856.0,0.6394,639.3569,639.3569,0.6165,0.023,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.3333,0.6,0.6768,0.7676,1,1.0,857.0,-856.0,0.6394,639.3569,639.3569,0.1483,0.0171,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.3056,0.7333,0.228,0.8456,4,4.0,857.0,-853.0,0.8038,200.9391,200.9391,0.0552,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.4,0.8,0.6873,0.8864,4,4.0,857.0,-853.0,0.8038,200.9391,200.9391,0.57,0.021,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.3462,0.6,0.6642,0.768,4,4.0,857.0,-853.0,0.8038,200.9391,200.9391,0.1668,0.0163,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o SVM,w/o SVM,--,DT,0.2,0.7333,0.1506,0.8374,3103,3103.0,855.0,2248.0,0.806,0.2597,0.2597,0.256,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o SVM,w/o SVM,--,RF,0.4783,0.7333,0.7496,0.8512,3103,3103.0,855.0,2248.0,0.806,0.2597,0.2597,2.2592,0.0353,success,success,42
