Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.9851,0.0223,0.98,0.0209,0.9985,0.002,0.9891,0.0113,103.4,81.7239,0.1394,0.0137,1.9707,2.2796,0.692,0.0352
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,1.0,0.0,0.97,0.0209,0.9997,0.0008,0.9848,0.0106,103.4,81.7239,0.1394,0.0137,1.9707,2.2796,0.7811,0.0224
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.9249,0.0459,0.96,0.0224,0.8919,0.0474,0.9753,0.0115,72.0,71.753,0.1635,0.0251,3.8292,3.6227,0.0902,0.0178
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.995,0.0112,0.98,0.0209,0.9986,0.0017,0.9896,0.0107,72.0,71.753,0.1635,0.0251,3.8292,3.6227,0.6935,0.0317
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,1.0,0.0,0.975,0.0177,0.9997,0.0008,0.9874,0.0089,72.0,71.753,0.1635,0.0251,3.8292,3.6227,0.7701,0.0234
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,DT,0.9519,0.031,0.955,0.0371,0.9128,0.0187,0.9743,0.0174,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,0.1622,0.0113
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,LightGBM,0.9949,0.0114,0.985,0.0224,0.9952,0.0098,0.9921,0.0119,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,0.9028,0.1861
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,TVAE,Deep Tabular,--,RF,1.0,0.0,0.97,0.0209,0.9997,0.0008,0.9848,0.0106,1280.0,0.0,15.2085,0.3198,11.8816,0.2498,1.284,0.0205
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.8525,0.0666,0.785,0.0335,0.6911,0.064,0.8789,0.0195,10.8,7.2595,0.3296,0.502,253.5349,544.5306,0.1276,0.0233
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.995,0.0112,0.945,0.057,0.9893,0.0082,0.9715,0.0296,10.8,7.2595,0.3296,0.502,253.5349,544.5306,0.6908,0.144
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,1.0,0.0,0.81,0.0762,0.9921,0.0066,0.8992,0.0428,10.8,7.2595,0.3296,0.502,253.5349,544.5306,1.1066,0.1213
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.8579,0.058,0.8,0.0306,0.707,0.0606,0.8876,0.0183,1.6,0.5477,0.3103,0.2532,226.1706,220.8049,0.1528,0.0689
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.9894,0.0145,0.935,0.0518,0.9892,0.0091,0.9661,0.0269,1.6,0.5477,0.3103,0.2532,226.1706,220.8049,0.7543,0.1705
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,1.0,0.0,0.815,0.084,0.9923,0.0055,0.9018,0.0478,1.6,0.5477,0.3103,0.2532,226.1706,220.8049,1.2012,0.2457
